Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","t","60.11","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","t","60.11","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","t","60.11","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","t","60.11","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","t","60.11","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","t","60.11","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","t","70.43","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","t","80.75","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","t","91.07","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","t","101.39","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","111.72","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","122.04","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","132.36","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","142.68","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","153","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","127.99","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","128.73","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","344.06","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","353.43","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","209.52","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","332.01","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","342.92","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","410.32","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","454.53","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","549.17","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","573.97","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","632.75","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","691.53","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","750.31","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","809.09","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","681.5","E","Estimated value",""
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","783.14","E","Estimated value",""
