Area,Year,rainfall
Nepal,1990,1500
Nepal,1991,1500
Nepal,1992,1500
Nepal,1993,1500
Nepal,1994,1500
Nepal,1995,1500
Nepal,1996,1500
Nepal,1997,1500
Nepal,1998,1500
Nepal,1999,1500
Nepal,2000,1500
Nepal,2001,1500
Nepal,2002,1500
Nepal,2003,1500
Nepal,2004,1500
Nepal,2005,1500
Nepal,2006,1500
Nepal,2007,1500
Nepal,2008,1500
Nepal,2009,1500
Nepal,2010,1500
Nepal,2011,1500
Nepal,2012,1500
Nepal,2013,1500
Nepal,2014,1500
Nepal,2015,1500
Nepal,2016,1500
Nepal,2017,1500
Nepal,2018,1500
Nepal,2019,1500
Nepal,2020,1500
Nepal,2021,1500
Nepal,2022,1500
